Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z,FSR
0,-0.04,-0.04,9.89,0.04,0.03,0.01,288.15
0.51000977,-0.12,-0.04,9.81,0.03,0.03,0.01,288.66
1.0100098,-0.12,-0.04,9.77,0.04,0.03,0,289.16
1.5100098,-0.08,-0.04,9.81,0.03,0.03,0.01,289.66
2.0100098,-0.12,0,9.85,0.03,0.03,0.01,290.16
2.5200195,-0.08,0.71,13.1,-0.06,0.61,-0.33,290.67
3.0200195,1.92,-0.39,7.22,0.23,2.72,0.07,291.17
3.5200195,-0.08,0,9.89,0.04,0.03,0.01,291.67
4.0200195,-0.08,0.08,9.89,0.03,0.03,0,292.17
4.5200195,-0.08,0,9.89,0.04,0.03,0.01,292.67
5.0200195,-0.12,0.04,9.85,0.02,0.03,0,293.17
5.529999,-0.04,0,9.85,0.03,0.03,0.01,293.68
